"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"98051"	"PGA_scaffold36__50_contigs__length_8312113"	6467938	6467938	"+"	6.65838002505211e-12	3.15753301005771e-10	25.5415793151642
"98109"	"PGA_scaffold36__50_contigs__length_8312113"	6634317	6634317	"+"	2.52891972998346e-10	8.41553032328799e-09	28.3389905548996
"98787"	"PGA_scaffold37__114_contigs__length_22981779"	616653	616653	"+"	1.48982358434309e-06	1.92335484602628e-05	27.1604938271605
"98788"	"PGA_scaffold37__114_contigs__length_22981779"	630931	630931	"+"	2.91208055511512e-05	0.000248256795609507	25.228411435308
"99370"	"PGA_scaffold37__114_contigs__length_22981779"	2230480	2230480	"+"	4.84681757151799e-11	1.8863920072979e-09	25.0416056450539
"99388"	"PGA_scaffold37__114_contigs__length_22981779"	2234839	2234839	"+"	1.56172536907508e-15	1.44900092823563e-13	-30.4445035932925
"99433"	"PGA_scaffold37__114_contigs__length_22981779"	2240336	2240336	"+"	2.51450973293927e-14	1.89064860194859e-12	-26.7568373202176
"99494"	"PGA_scaffold37__114_contigs__length_22981779"	2389307	2389307	"+"	1.2034626234272e-76	4.02347256631342e-72	-56.1537114845938
"99553"	"PGA_scaffold37__114_contigs__length_22981779"	2715118	2715118	"+"	9.37584858605128e-09	2.16675869552266e-07	25.504743630743
"99576"	"PGA_scaffold37__114_contigs__length_22981779"	2799954	2799954	"+"	2.34204094196875e-08	4.91629607860627e-07	29.1708344301132
"99633"	"PGA_scaffold37__114_contigs__length_22981779"	4052026	4052026	"+"	3.68693696148329e-15	3.17416485920504e-13	25.8373715320305
"100470"	"PGA_scaffold37__114_contigs__length_22981779"	10497714	10497714	"+"	3.69347412916868e-29	2.55479908307593e-26	-51.2298747763864
"100763"	"PGA_scaffold37__114_contigs__length_22981779"	13037188	13037188	"+"	5.6705695187562e-22	1.3974039365157e-19	31.8279065976609
"100996"	"PGA_scaffold37__114_contigs__length_22981779"	16887275	16887275	"+"	5.54748082899102e-07	8.06023361019421e-06	-27.4018379281537
"100999"	"PGA_scaffold37__114_contigs__length_22981779"	16889506	16889506	"+"	5.59864806625339e-33	6.23922074645602e-30	-40.5465418099125
"101000"	"PGA_scaffold37__114_contigs__length_22981779"	16889526	16889526	"+"	3.79283971711141e-16	3.90566712081739e-14	-33.3489187609585
"101010"	"PGA_scaffold37__114_contigs__length_22981779"	16900076	16900076	"+"	5.29567271609133e-16	5.33275327381078e-14	-41.3669064748201
"101115"	"PGA_scaffold37__114_contigs__length_22981779"	18209927	18209927	"+"	1.63162725770819e-13	1.05307579349868e-11	-29.5488087708202
"101278"	"PGA_scaffold37__114_contigs__length_22981779"	20826024	20826024	"+"	1.42511551126182e-22	3.85270582849793e-20	31.4951548011516
"101346"	"PGA_scaffold37__114_contigs__length_22981779"	21217551	21217551	"+"	6.22597837297868e-13	3.62841062418047e-11	26.4593837535014
"101416"	"PGA_scaffold37__114_contigs__length_22981779"	21219881	21219881	"+"	1.33357299187251e-18	2.09974739691063e-16	25.202492211838
"101456"	"PGA_scaffold37__114_contigs__length_22981779"	21221759	21221759	"+"	3.21170964463567e-19	5.44131993054874e-17	-33.5121951219512
"101537"	"PGA_scaffold37__114_contigs__length_22981779"	22064906	22064906	"+"	3.91603923515996e-39	8.7281904312647e-36	-41.2878787878788
"101541"	"PGA_scaffold37__114_contigs__length_22981779"	22064949	22064949	"+"	6.68743821335638e-17	7.90026728480849e-15	27.5637093626276
"102003"	"PGA_scaffold38__30_contigs__length_10707134"	1817398	1817398	"+"	2.56390293613335e-37	4.76208905010637e-34	53.5411761522016
"102091"	"PGA_scaffold38__30_contigs__length_10707134"	1979901	1979901	"+"	1.33104341177586e-14	1.04623980302666e-12	-25.9413238979802
"102164"	"PGA_scaffold38__30_contigs__length_10707134"	2161208	2161208	"+"	1.72368197770272e-10	5.94500783200868e-09	33.2926252757643
"102337"	"PGA_scaffold38__30_contigs__length_10707134"	2322533	2322533	"+"	5.30156859235708e-12	2.57000274120615e-10	30.775521330244
"102629"	"PGA_scaffold38__30_contigs__length_10707134"	2786852	2786852	"+"	8.70864171651224e-25	3.3465676508971e-22	33.1829460861719
"102705"	"PGA_scaffold38__30_contigs__length_10707134"	3055284	3055284	"+"	6.98026879886829e-15	5.74797077200917e-13	-34.0110729285987
"102819"	"PGA_scaffold38__30_contigs__length_10707134"	3559084	3559084	"+"	1.84731143287155e-14	1.42304563111502e-12	-27.778809718404
"103183"	"PGA_scaffold38__30_contigs__length_10707134"	5123783	5123783	"+"	2.90751036509226e-13	1.7978775699095e-11	32.370652574659
"103428"	"PGA_scaffold38__30_contigs__length_10707134"	6943348	6943348	"+"	3.43610739227656e-19	5.78242703774128e-17	-29.4357359771347
"103556"	"PGA_scaffold38__30_contigs__length_10707134"	8094902	8094902	"+"	2.51328965610372e-05	0.000219292238459158	29.6543359611886
"103633"	"PGA_scaffold38__30_contigs__length_10707134"	8232111	8232111	"+"	9.62880732986078e-21	2.01616780624269e-18	36.0875093925207
"103871"	"PGA_scaffold38__30_contigs__length_10707134"	8747438	8747438	"+"	3.04147764752087e-16	3.20433101358464e-14	-29.7369571553483
"103898"	"PGA_scaffold38__30_contigs__length_10707134"	8770449	8770449	"+"	2.53086740116167e-15	2.24041862583405e-13	29.1894601678071
"104078"	"PGA_scaffold38__30_contigs__length_10707134"	9115007	9115007	"+"	3.88877231192609e-10	1.24452382830372e-08	25.2691387559809
"104248"	"PGA_scaffold39__82_contigs__length_19157343"	698334	698334	"+"	2.10669523484629e-21	4.79129394919209e-19	29.6726188217617
"104315"	"PGA_scaffold39__82_contigs__length_19157343"	1412537	1412537	"+"	8.02252042277577e-13	4.56402706900472e-11	35.2272727272727
"104758"	"PGA_scaffold39__82_contigs__length_19157343"	4351368	4351368	"+"	1.07336315083711e-15	1.03415502038031e-13	25.8047945205479
"104880"	"PGA_scaffold39__82_contigs__length_19157343"	5005125	5005125	"+"	2.80093869692033e-12	1.43110993467866e-10	-34.5836181362497
"105227"	"PGA_scaffold39__82_contigs__length_19157343"	5899787	5899787	"+"	1.49262959659752e-07	2.5361150894902e-06	26.1537111773995
"105322"	"PGA_scaffold39__82_contigs__length_19157343"	6337175	6337175	"+"	3.97601155657686e-25	1.58877943250719e-22	29.3064703603254
"105338"	"PGA_scaffold39__82_contigs__length_19157343"	6368844	6368844	"+"	3.34207843592333e-16	3.47719700438301e-14	-25.9871388808907
"105668"	"PGA_scaffold39__82_contigs__length_19157343"	8404295	8404295	"+"	5.72015206432973e-33	6.30457585460031e-30	34.5841719903153
"105932"	"PGA_scaffold39__82_contigs__length_19157343"	12296275	12296275	"+"	4.70830343034307e-18	6.82414178465228e-16	-28.2937466451959
"106268"	"PGA_scaffold39__82_contigs__length_19157343"	15181265	15181265	"+"	3.71869388537424e-14	2.70467979060159e-12	34.5788184497862
"106329"	"PGA_scaffold39__82_contigs__length_19157343"	15456031	15456031	"+"	6.19155602718528e-20	1.15426951021821e-17	-32.9162278282094
"106330"	"PGA_scaffold39__82_contigs__length_19157343"	15456038	15456038	"+"	3.34103933364003e-11	1.34902404171085e-09	36.6414933029353
"106354"	"PGA_scaffold39__82_contigs__length_19157343"	15464500	15464500	"+"	4.0313318525888e-08	7.93274709907884e-07	29.116745611591
"106429"	"PGA_scaffold39__82_contigs__length_19157343"	16711467	16711467	"+"	5.50570628902658e-29	3.75651733468225e-26	34.443729903537
"106463"	"PGA_scaffold39__82_contigs__length_19157343"	17801422	17801422	"+"	2.74342086119706e-10	9.06616113899025e-09	27.0914671064994
"107204"	"PGA_scaffold3__77_contigs__length_22140449"	4725523	4725523	"+"	2.63158015981639e-07	4.1968621172494e-06	-28.0176380368098
"107273"	"PGA_scaffold3__77_contigs__length_22140449"	6026222	6026222	"+"	5.75427207328483e-14	4.05293926329116e-12	33.4841244557715
"107588"	"PGA_scaffold3__77_contigs__length_22140449"	9868690	9868690	"+"	2.71213523455701e-10	8.97163995490038e-09	26.8167629673906
"107626"	"PGA_scaffold3__77_contigs__length_22140449"	9953276	9953276	"+"	8.19766316484135e-13	4.64020825148048e-11	25.5697870345736
"107646"	"PGA_scaffold3__77_contigs__length_22140449"	10138287	10138287	"+"	2.38584985640811e-10	7.97914461580206e-09	26.7413972888425
"107717"	"PGA_scaffold3__77_contigs__length_22140449"	10235121	10235121	"+"	2.66566793749103e-16	2.84122820578201e-14	27.0567270567271
"108008"	"PGA_scaffold3__77_contigs__length_22140449"	13113508	13113508	"+"	2.35255866815166e-12	1.22130190097495e-10	-32.4858757062147
"108161"	"PGA_scaffold3__77_contigs__length_22140449"	13281381	13281381	"+"	7.72695089480442e-30	5.9614855068966e-27	43.4229404213547
"108221"	"PGA_scaffold3__77_contigs__length_22140449"	14187892	14187892	"+"	9.43983391214156e-10	2.77569872752966e-08	29.6279761904762
"108293"	"PGA_scaffold3__77_contigs__length_22140449"	14711832	14711832	"+"	2.15206966525382e-22	5.6356919253018e-20	32.3455549974887
"108344"	"PGA_scaffold3__77_contigs__length_22140449"	15825396	15825396	"+"	1.17519251169939e-47	5.12472861613784e-44	52.0241935483871
"108447"	"PGA_scaffold3__77_contigs__length_22140449"	18106187	18106187	"+"	2.61365994812782e-18	3.93018452536127e-16	35.5805906493924
"108588"	"PGA_scaffold3__77_contigs__length_22140449"	19733553	19733553	"+"	2.0424703983829e-15	1.84387469655422e-13	-26.9706735417338
"108687"	"PGA_scaffold3__77_contigs__length_22140449"	19830027	19830027	"+"	6.02317527707452e-08	1.13383792111658e-06	-25.8700313376216
"108712"	"PGA_scaffold3__77_contigs__length_22140449"	19832164	19832164	"+"	3.69821017499885e-08	7.35516319944858e-07	26.6766268260292
"109182"	"PGA_scaffold3__77_contigs__length_22140449"	22127849	22127849	"+"	2.98061560936812e-08	6.06631509865926e-07	-27.1150483071013
"109513"	"PGA_scaffold40__81_contigs__length_9975379"	1698426	1698426	"+"	8.65425345427073e-15	7.05117104281926e-13	29.8950231629054
"110253"	"PGA_scaffold40__81_contigs__length_9975379"	7075307	7075307	"+"	6.08156484080387e-13	3.55457555965046e-11	35.6928129341922
"110377"	"PGA_scaffold40__81_contigs__length_9975379"	7366389	7366389	"+"	5.37357151355371e-14	3.80081292831382e-12	29.3406087699691
"110507"	"PGA_scaffold40__81_contigs__length_9975379"	8445968	8445968	"+"	7.27737654014918e-09	1.73662140185938e-07	25.5180406613047
"110632"	"PGA_scaffold40__81_contigs__length_9975379"	8545612	8545612	"+"	1.00674497356749e-10	3.65053895081506e-09	-32.5245685804298
"110734"	"PGA_scaffold40__81_contigs__length_9975379"	8784747	8784747	"+"	6.11206908415652e-15	5.06631952443394e-13	28.718487394958
"110997"	"PGA_scaffold41__67_contigs__length_15779270"	754703	754703	"+"	6.62067429256417e-21	1.41585595851007e-18	30.8900212314225
"111079"	"PGA_scaffold41__67_contigs__length_15779270"	2499767	2499767	"+"	1.42336595005926e-18	2.23062359047573e-16	-32.103232940053
"111238"	"PGA_scaffold41__67_contigs__length_15779270"	4623279	4623279	"+"	1.78699051636127e-16	1.95666495453991e-14	-27.8749364514489
"111239"	"PGA_scaffold41__67_contigs__length_15779270"	4623648	4623648	"+"	1.23799873083775e-15	1.16699303485283e-13	-33.4601672836967
"111352"	"PGA_scaffold41__67_contigs__length_15779270"	5247713	5247713	"+"	3.68880895289e-08	7.33792070559038e-07	-28.9953171562367
"111566"	"PGA_scaffold41__67_contigs__length_15779270"	10616914	10616914	"+"	1.86873023782467e-08	4.02812791114595e-07	25.5300546448087
"111678"	"PGA_scaffold41__67_contigs__length_15779270"	11191830	11191830	"+"	2.45656008903907e-07	3.95166960384735e-06	25.267792302106
"111723"	"PGA_scaffold41__67_contigs__length_15779270"	11195473	11195473	"+"	6.87791237248477e-31	6.104750054669e-28	32.1511627906977
"111758"	"PGA_scaffold41__67_contigs__length_15779270"	11210087	11210087	"+"	3.46370573272217e-38	7.23751444483122e-35	-32.3951378188666
"111775"	"PGA_scaffold41__67_contigs__length_15779270"	11211314	11211314	"+"	9.09960699803666e-36	1.40410301490918e-32	31.8734213754781
"111781"	"PGA_scaffold41__67_contigs__length_15779270"	11211623	11211623	"+"	5.90042825628035e-38	1.20775027924809e-34	49.4256075304966
"111797"	"PGA_scaffold41__67_contigs__length_15779270"	11213090	11213090	"+"	3.49233111006004e-23	1.04871779757055e-20	-33.9830996735164
"111832"	"PGA_scaffold41__67_contigs__length_15779270"	11216894	11216894	"+"	3.64565600031335e-08	7.26071947688146e-07	29.8795180722892
"111877"	"PGA_scaffold41__67_contigs__length_15779270"	11433453	11433453	"+"	2.93552257959154e-11	1.20075568611346e-09	26.034749034749
"111878"	"PGA_scaffold41__67_contigs__length_15779270"	11433456	11433456	"+"	1.34374879675019e-10	4.72395779868421e-09	25.3717112124192
"112071"	"PGA_scaffold41__67_contigs__length_15779270"	12080540	12080540	"+"	3.45924988316011e-08	6.92108085394034e-07	27.2118702553485
"112137"	"PGA_scaffold41__67_contigs__length_15779270"	12854404	12854404	"+"	3.07909342326121e-29	2.20589340822128e-26	37.800487748229
"112394"	"PGA_scaffold41__67_contigs__length_15779270"	14601218	14601218	"+"	1.53031883190706e-21	3.52034417877113e-19	25.895965988881
"112578"	"PGA_scaffold41__67_contigs__length_15779270"	14909154	14909154	"+"	5.1694179163786e-08	9.89652982272813e-07	-26.8140781151934
"112600"	"PGA_scaffold41__67_contigs__length_15779270"	14915304	14915304	"+"	2.04262524263503e-14	1.56150921694889e-12	-26.2141687510122
"112658"	"PGA_scaffold41__67_contigs__length_15779270"	14921697	14921697	"+"	7.77453713426525e-16	7.68999893671128e-14	29.3927715096865
"112666"	"PGA_scaffold41__67_contigs__length_15779270"	14922343	14922343	"+"	5.91357162198601e-37	1.04055417945999e-33	-40.5919364987174
"112709"	"PGA_scaffold41__67_contigs__length_15779270"	15218353	15218353	"+"	1.95893505708052e-15	1.78290472694116e-13	25.5917830846003
"113010"	"PGA_scaffold42__119_contigs__length_25812110"	1022844	1022844	"+"	8.72880410930316e-09	2.03646520711867e-07	28.4831804281346
"113070"	"PGA_scaffold42__119_contigs__length_25812110"	1095894	1095894	"+"	7.99304005897761e-13	4.5550066381046e-11	27.2992638971148
"113278"	"PGA_scaffold42__119_contigs__length_25812110"	3025767	3025767	"+"	3.80290403650461e-13	2.30326933983203e-11	32.978228610662
"113279"	"PGA_scaffold42__119_contigs__length_25812110"	3026494	3026494	"+"	1.03207481576126e-19	1.87526131877414e-17	48.5431615568602
"113498"	"PGA_scaffold42__119_contigs__length_25812110"	5395813	5395813	"+"	2.48142408856925e-19	4.26896045294718e-17	34.3927670670713
"113502"	"PGA_scaffold42__119_contigs__length_25812110"	5717628	5717628	"+"	3.07181729317774e-16	3.23289926749367e-14	26.697229449354
"113551"	"PGA_scaffold42__119_contigs__length_25812110"	7157343	7157343	"+"	9.82287691022944e-62	1.8440633953981e-57	47.151963070594
"113983"	"PGA_scaffold42__119_contigs__length_25812110"	11542081	11542081	"+"	4.07148936258609e-12	2.02158323586883e-10	25.7777777777778
"114128"	"PGA_scaffold42__119_contigs__length_25812110"	12563965	12563965	"+"	1.51521542091535e-16	1.68110811150218e-14	-25.4487563513723
"114160"	"PGA_scaffold42__119_contigs__length_25812110"	12815166	12815166	"+"	1.49520665989742e-05	0.000140220052820602	25.6686798964625
"114911"	"PGA_scaffold42__119_contigs__length_25812110"	22481445	22481445	"+"	4.44331610968074e-18	6.48694426683965e-16	-30.5122861296722
"115101"	"PGA_scaffold43__161_contigs__length_26349757"	62351	62351	"+"	4.96426522078141e-15	4.17353658518388e-13	-28.109216806619
"115253"	"PGA_scaffold43__161_contigs__length_26349757"	332251	332251	"+"	1.69692250466388e-40	4.25492305188818e-37	37.5324004216706
"115383"	"PGA_scaffold43__161_contigs__length_26349757"	627973	627973	"+"	3.95950465498096e-08	7.80518942964789e-07	30.6122448979592
"115529"	"PGA_scaffold43__161_contigs__length_26349757"	968990	968990	"+"	6.34826084312174e-30	4.93576808322833e-27	35.4214934505214
"115549"	"PGA_scaffold43__161_contigs__length_26349757"	969574	969574	"+"	4.49578437878274e-21	9.76007580773394e-19	42.797311089994
"115632"	"PGA_scaffold43__161_contigs__length_26349757"	1311975	1311975	"+"	6.39665833849843e-16	6.41568225884795e-14	-25.1144304359079
"115713"	"PGA_scaffold43__161_contigs__length_26349757"	3199201	3199201	"+"	2.08505318056599e-17	2.69144686353869e-15	33.0766923307669
"116043"	"PGA_scaffold43__161_contigs__length_26349757"	7560500	7560500	"+"	7.32057590000458e-18	1.00995152524237e-15	28.4480431848853
"116133"	"PGA_scaffold43__161_contigs__length_26349757"	8842998	8842998	"+"	2.54815958055871e-15	2.25299175721158e-13	35.9210526315789
"116259"	"PGA_scaffold43__161_contigs__length_26349757"	9786122	9786122	"+"	5.81742539458887e-22	1.42310406164874e-19	-35.064736558173
"116269"	"PGA_scaffold43__161_contigs__length_26349757"	9789227	9789227	"+"	2.45210335205588e-08	5.11521631967507e-07	26.0378097756881
"116636"	"PGA_scaffold43__161_contigs__length_26349757"	13576031	13576031	"+"	3.03131862347253e-08	6.15452203954705e-07	-25.7640180706883
"116651"	"PGA_scaffold43__161_contigs__length_26349757"	13578835	13578835	"+"	1.29378521790751e-11	5.70388126338337e-10	28.6521632570679
"116759"	"PGA_scaffold43__161_contigs__length_26349757"	13912932	13912932	"+"	3.05883284711499e-11	1.24510143652253e-09	27.3005319148936
"116845"	"PGA_scaffold43__161_contigs__length_26349757"	13930997	13930997	"+"	2.20753054278551e-33	2.60481862095635e-30	-39.0851238283361
"117185"	"PGA_scaffold43__161_contigs__length_26349757"	17381873	17381873	"+"	5.93344465214373e-06	6.36208141573052e-05	25.1724137931035
"117275"	"PGA_scaffold43__161_contigs__length_26349757"	17589763	17589763	"+"	1.07712645828039e-14	8.61507078060268e-13	-25.7723821694355
"117339"	"PGA_scaffold43__161_contigs__length_26349757"	17624199	17624199	"+"	4.12538207684222e-33	4.75592083887453e-30	39.0466615182114
"117493"	"PGA_scaffold43__161_contigs__length_26349757"	17996130	17996130	"+"	4.57683873681147e-16	4.66509191070885e-14	31.4929091437274
"117512"	"PGA_scaffold43__161_contigs__length_26349757"	17996422	17996422	"+"	7.47033007062604e-12	3.48490564376166e-10	26.1786114719963
"117819"	"PGA_scaffold43__161_contigs__length_26349757"	20403852	20403852	"+"	5.14479348457211e-15	4.31085572954524e-13	28.8273107408101
"117885"	"PGA_scaffold43__161_contigs__length_26349757"	20559888	20559888	"+"	1.13735786872682e-09	3.27046995351944e-08	25.2251616696061
"117923"	"PGA_scaffold43__161_contigs__length_26349757"	20569706	20569706	"+"	8.18745522386642e-10	2.44982250790825e-08	-25.7789485978276
"118029"	"PGA_scaffold43__161_contigs__length_26349757"	21355209	21355209	"+"	1.23447781207439e-13	8.18881745347479e-12	27.8057275541796
"118074"	"PGA_scaffold43__161_contigs__length_26349757"	21595105	21595105	"+"	5.7662963380078e-06	6.21207898635735e-05	-28.1765018607124
"118222"	"PGA_scaffold43__161_contigs__length_26349757"	22065537	22065537	"+"	3.030789961409e-10	9.91455855580684e-09	32.7310476404242
"119391"	"PGA_scaffold44__101_contigs__length_25971783"	1941818	1941818	"+"	1.94755275254003e-11	8.25938627109968e-10	25.7180296878692
"119587"	"PGA_scaffold44__101_contigs__length_25971783"	2161196	2161196	"+"	2.28884688001529e-12	1.19192835052706e-10	29.8120235620236
"119598"	"PGA_scaffold44__101_contigs__length_25971783"	2161504	2161504	"+"	1.73804338877541e-11	7.46877634977547e-10	29.2985096542104
"119855"	"PGA_scaffold44__101_contigs__length_25971783"	2677056	2677056	"+"	2.47242683384593e-17	3.1589553263004e-15	-34.8040806862972
"120137"	"PGA_scaffold44__101_contigs__length_25971783"	3567977	3567977	"+"	4.80330265821976e-17	5.84658722621131e-15	26.0290775505121
"120246"	"PGA_scaffold44__101_contigs__length_25971783"	4044262	4044262	"+"	3.36418329599251e-13	2.06448321320733e-11	30.4639224260861
"120302"	"PGA_scaffold44__101_contigs__length_25971783"	5362968	5362968	"+"	9.44718696222733e-08	1.69807944049417e-06	-31.7773600668337
"120328"	"PGA_scaffold44__101_contigs__length_25971783"	5410601	5410601	"+"	2.67863429475327e-20	5.20659042901842e-18	-27.2187222527589
"120497"	"PGA_scaffold44__101_contigs__length_25971783"	6417496	6417496	"+"	1.89872674390369e-24	6.87499506843426e-22	35.3924330444394
"120541"	"PGA_scaffold44__101_contigs__length_25971783"	6667664	6667664	"+"	2.13986715408647e-14	1.6321149851422e-12	32.9776422764228
"120615"	"PGA_scaffold44__101_contigs__length_25971783"	11237292	11237292	"+"	1.40065965970887e-14	1.09923730683032e-12	-25.2794214332676
"120780"	"PGA_scaffold44__101_contigs__length_25971783"	13230049	13230049	"+"	7.00613832169304e-12	3.29286544523807e-10	26.7890012984974
"120787"	"PGA_scaffold44__101_contigs__length_25971783"	13264410	13264410	"+"	1.24970111074267e-35	1.87077279453581e-32	-37.3865835746935
"120953"	"PGA_scaffold44__101_contigs__length_25971783"	16006502	16006502	"+"	5.6664100239521e-20	1.06229199183349e-17	33.7379257752923
"120964"	"PGA_scaffold44__101_contigs__length_25971783"	16006713	16006713	"+"	1.28097989423339e-14	1.01084939433171e-12	-31.3051745212549
"121378"	"PGA_scaffold44__101_contigs__length_25971783"	18686640	18686640	"+"	1.09737760291589e-06	1.47046258950628e-05	26.8287276488843
"121466"	"PGA_scaffold44__101_contigs__length_25971783"	18748156	18748156	"+"	3.20439819075947e-15	2.78503310264248e-13	26.3153892117986
"121869"	"PGA_scaffold44__101_contigs__length_25971783"	23620448	23620448	"+"	6.78723076011677e-11	2.55150534431367e-09	27.2450513497467
"121937"	"PGA_scaffold44__101_contigs__length_25971783"	23833104	23833104	"+"	2.42585115508073e-13	1.52161709470302e-11	25.6294607454401
"121939"	"PGA_scaffold44__101_contigs__length_25971783"	23833896	23833896	"+"	4.48138478841132e-11	1.76470852290463e-09	25.0186699525783
"122063"	"PGA_scaffold44__101_contigs__length_25971783"	25123103	25123103	"+"	4.17584381526601e-21	9.1446789159248e-19	-39.4669426834002
"122114"	"PGA_scaffold44__101_contigs__length_25971783"	25132814	25132814	"+"	8.59332969394978e-08	1.56224154498184e-06	30.2107250369917
"122827"	"PGA_scaffold45__51_contigs__length_13476971"	1394736	1394736	"+"	5.86750344215589e-08	1.10786024745175e-06	32.3657024793388
"122908"	"PGA_scaffold45__51_contigs__length_13476971"	1900181	1900181	"+"	7.00661371387778e-23	2.00784333318809e-20	30.3999424543231
"122982"	"PGA_scaffold45__51_contigs__length_13476971"	1964977	1964977	"+"	9.75444534283963e-09	2.24648804992152e-07	26.0170075844633
"123020"	"PGA_scaffold45__51_contigs__length_13476971"	2010862	2010862	"+"	7.67744174396333e-12	3.56659322182006e-10	34.7417288593759
"123042"	"PGA_scaffold45__51_contigs__length_13476971"	2215576	2215576	"+"	3.84748458039789e-21	8.48115858240419e-19	-31.5628112549801
"123222"	"PGA_scaffold45__51_contigs__length_13476971"	4201458	4201458	"+"	2.63310514028875e-17	3.34295709033424e-15	28.8553650566274
"123468"	"PGA_scaffold45__51_contigs__length_13476971"	5549965	5549965	"+"	6.15902317900336e-13	3.59380752513492e-11	27.2122614227877
"123470"	"PGA_scaffold45__51_contigs__length_13476971"	5550978	5550978	"+"	3.61828811470108e-07	5.56176099578185e-06	-28.1140042223786
"123500"	"PGA_scaffold45__51_contigs__length_13476971"	5556457	5556457	"+"	1.04367911120662e-12	5.80256682401439e-11	-26.0579271119904
"123568"	"PGA_scaffold45__51_contigs__length_13476971"	5575150	5575150	"+"	2.42004994528325e-19	4.17052795807613e-17	-34.7740377507269
"123581"	"PGA_scaffold45__51_contigs__length_13476971"	5577682	5577682	"+"	6.24231969622081e-22	1.51229096792567e-19	-31.3679162728832
"123618"	"PGA_scaffold45__51_contigs__length_13476971"	5588375	5588375	"+"	8.89610999266082e-08	1.61028106537047e-06	28.1909373919059
"123636"	"PGA_scaffold45__51_contigs__length_13476971"	5590421	5590421	"+"	6.90500573740037e-12	3.25448378921687e-10	32.1477778215171
"123642"	"PGA_scaffold45__51_contigs__length_13476971"	5590497	5590497	"+"	1.29979026698418e-24	4.82835516946283e-22	-34.2836257309942
"123644"	"PGA_scaffold45__51_contigs__length_13476971"	5590519	5590519	"+"	3.97223900483349e-08	7.82417584458367e-07	-25.5394502298527
"123703"	"PGA_scaffold45__51_contigs__length_13476971"	7324877	7324877	"+"	2.77286587739252e-23	8.50493116986809e-21	-33.6893799877225
"123951"	"PGA_scaffold45__51_contigs__length_13476971"	8544007	8544007	"+"	4.20541527510282e-18	6.15755087598064e-16	-31.5363881401617
"123963"	"PGA_scaffold45__51_contigs__length_13476971"	8545207	8545207	"+"	7.83025683230889e-17	9.12142198896883e-15	38.4142173615858
"124000"	"PGA_scaffold45__51_contigs__length_13476971"	8585595	8585595	"+"	1.27543637165413e-27	7.22728571161697e-25	31.7331460674157
"124226"	"PGA_scaffold45__51_contigs__length_13476971"	9320809	9320809	"+"	1.28803990667374e-17	1.69606794746185e-15	29.4149288315127
"124601"	"PGA_scaffold46__73_contigs__length_12693875"	150198	150198	"+"	2.03838804390811e-17	2.63907511959229e-15	39.9477571608719
"124828"	"PGA_scaffold46__73_contigs__length_12693875"	490976	490976	"+"	6.1092118119292e-18	8.55779448979707e-16	-35.9156857377498
"125022"	"PGA_scaffold46__73_contigs__length_12693875"	805222	805222	"+"	8.78568692983041e-07	1.20958351650473e-05	-26.5178571428571
"125042"	"PGA_scaffold46__73_contigs__length_12693875"	811855	811855	"+"	4.27929637060149e-21	9.33048515414894e-19	26.7820816207913
"125115"	"PGA_scaffold46__73_contigs__length_12693875"	853463	853463	"+"	5.35299040360448e-12	2.59367652818707e-10	25.3254437869822
"125273"	"PGA_scaffold46__73_contigs__length_12693875"	1013995	1013995	"+"	7.52835497394486e-16	7.46859011455322e-14	-25.0033195143182
"125402"	"PGA_scaffold46__73_contigs__length_12693875"	1072061	1072061	"+"	4.72894604610646e-12	2.31028257316907e-10	29.3889939735187
"125425"	"PGA_scaffold46__73_contigs__length_12693875"	1109148	1109148	"+"	6.14206085026318e-19	1.00395157466826e-16	-42.2556506586028
"125545"	"PGA_scaffold46__73_contigs__length_12693875"	1277214	1277214	"+"	5.71704383446993e-20	1.06978480481815e-17	32.3494335122242
"125610"	"PGA_scaffold46__73_contigs__length_12693875"	1484360	1484360	"+"	2.03833580251226e-11	8.62615145799971e-10	31.7663043478261
"125645"	"PGA_scaffold46__73_contigs__length_12693875"	1500448	1500448	"+"	1.09806430774199e-13	7.36675582180231e-12	31.1902947898963
"125770"	"PGA_scaffold46__73_contigs__length_12693875"	1541550	1541550	"+"	7.648100518573e-22	1.82639197107842e-19	-26.2383900928793
"125821"	"PGA_scaffold46__73_contigs__length_12693875"	1681770	1681770	"+"	4.93213506895615e-16	5.0119589036772e-14	-25.0093428838368
"125841"	"PGA_scaffold46__73_contigs__length_12693875"	1683171	1683171	"+"	1.11685706316485e-24	4.19542562245783e-22	-40.6612261979494
"125921"	"PGA_scaffold46__73_contigs__length_12693875"	1790796	1790796	"+"	3.45330582087886e-22	8.74640427251933e-20	-34.4260341711736
"126212"	"PGA_scaffold46__73_contigs__length_12693875"	2938806	2938806	"+"	3.19381614991551e-09	8.28157882158331e-08	31.2292358803987
"126570"	"PGA_scaffold46__73_contigs__length_12693875"	4957334	4957334	"+"	2.68666176945845e-15	2.36788401591635e-13	34.1624040920716
"126606"	"PGA_scaffold46__73_contigs__length_12693875"	5358310	5358310	"+"	3.29225581913622e-22	8.35961296446269e-20	26.3143368516133
"126715"	"PGA_scaffold46__73_contigs__length_12693875"	5368545	5368545	"+"	4.64611081164874e-18	6.75351961293365e-16	27.2465936504467
